Area_desc,full_name
SCIENZE BIOLOGICHE ,Chiara Sasia
SCIENZE POLITICHE E SOCIALI ,Michele Bertani 
SCIENZE POLITICHE E SOCIALI ,ADRIANA CERASUOLO
SCIENZE BIOLOGICHE ,Fiorenzo  Conti
SCIENZE MEDICHE,RICCARDO CALVANI
SCIENZE MEDICHE,ANTONIO PICONE
SCIENZE BIOLOGICHE ,Annamaria  Antona
SCIENZE ECONOMICHE E STATISTICHE ,Martina Celidoni
SCIENZE BIOLOGICHE ,Manuel Alejandro Montano Castillo
SCIENZE CHIMICHE ,Alessia Vignoli
SCIENZE ECONOMICHE E STATISTICHE ,Domenico  De Giovanni
SCIENZE MEDICHE,Fulvio  Ricceri
SCIENZE ECONOMICHE E STATISTICHE ,Daniela Carrillo
 SCIENZE MATEMATICHE E INFORMATICHE ,Fabio Chillotti
SCIENZE ECONOMICHE E STATISTICHE , MOSLEM  RASHIDI
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",JAMES DAWE
SCIENZE ECONOMICHE E STATISTICHE ,ROBERTA MISURACA
SCIENZE POLITICHE E SOCIALI ,Federica Cretazzo
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Erika Borella
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Fabio  Mercorio
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Fabrizia Mantovani
SCIENZE ECONOMICHE E STATISTICHE ,Nicola CARAVAGGIO
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",MARGHERITA BERTUCCELLI
SCIENZE BIOLOGICHE ,Marco Narici
SCIENZE MEDICHE,Clotilde Sparano
SCIENZE ECONOMICHE E STATISTICHE ,Romina Fraboni
SCIENZE MEDICHE, Paolo   Benetti  
SCIENZE MEDICHE,ANNACHIARA  CAVALIERE
SCIENZE POLITICHE E SOCIALI ,Antonio Sanguinetti
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,MATTEO CAMMARATA
SCIENZE MEDICHE,Alessandra Del Felice
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",ELEONORA  MACCHIA
SCIENZE BIOLOGICHE ,Angela  Gambardella
SCIENZE ECONOMICHE E STATISTICHE ,Andrea  Sottosanti
SCIENZE ECONOMICHE E STATISTICHE ,Maria Letizia Tanturri
SCIENZE MEDICHE,Giuseppe Sergi
SCIENZE POLITICHE E SOCIALI ,Davide Pala
SCIENZE ECONOMICHE E STATISTICHE ,SERENA GALLO
SCIENZE BIOLOGICHE ,Antonio  Adinolfi
SCIENZE ECONOMICHE E STATISTICHE ,Andreea Alexandra Piriu
SCIENZE ECONOMICHE E STATISTICHE ,Paolo Micera
SCIENZE GIURIDICHE ,Giovanni Calabrese
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Daniele Fiaschi
 SCIENZE MATEMATICHE E INFORMATICHE ,Patrizia Ribino
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Domenico  Mundo
SCIENZE MEDICHE,Jacopo Lidonnici
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Francesca Forlé
SCIENZE MEDICHE,Luca Soraci
SCIENZE POLITICHE E SOCIALI ,Micol Bronzini
SCIENZE MEDICHE,Giulia Grotto
"SCIENZE STORICHE, FILOSOFICHE, PEDAGOGICHE E PSICOLOGICHE ",Sara Mondini
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Rocco Oliveto
SCIENZE POLITICHE E SOCIALI ,Carlo Burelli
SCIENZE MEDICHE,Sofia Pavanello
SCIENZE ECONOMICHE E STATISTICHE ,ROCCO MAZZA
SCIENZE BIOLOGICHE ,Mariafrancesca Scalise
SCIENZE MEDICHE,MARIA CONTE
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,Emanuele  Menegatti
SCIENZE BIOLOGICHE ,Luca Scorrano
SCIENZE CHIMICHE ,Maria Salobehaj
SCIENZE ECONOMICHE E STATISTICHE ,Tatiana  Celadin 
INGEGNERIA INDUSTRIALE E DELL'INFORMAZIONE ,EMMA COLAMARINO
SCIENZE ECONOMICHE E STATISTICHE ,Patrizia  Farina
SCIENZE GIURIDICHE ,Anna D'Ascenzio
